City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
71,camocim,BR,81.9,clear sky,-2.9022,-40.8411,Hotel Ilha do Amor
73,ribeira grande,PT,72.01,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
75,thinadhoo,MV,82.56,scattered clouds,0.5333,72.9333,
79,kavieng,PG,81.5,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
81,dongdu,CN,70.11,overcast clouds,35.85,117.7,Dushi 118 Hotel
85,san patricio,US,92.12,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
86,locri,IT,70.83,scattered clouds,38.2414,16.2623,Grand Hotel President
87,victoria,HK,84.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
89,dingle,PH,75.34,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
91,bethel,US,73.89,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
93,balabac,PH,79.72,light rain,7.9868,117.0645,Sing and Swing Lodge
94,los algarrobos,PA,82.45,scattered clouds,8.5,-82.4333,Waterfall Hostel
95,padang,ID,76.71,overcast clouds,-0.9492,100.3543,Mercure Padang
97,ambanja,MG,73.49,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
98,pathein,MM,77.09,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
99,cabo san lucas,MX,88.9,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
101,boa vista,BR,91.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
106,meulaboh,ID,74.75,broken clouds,4.1363,96.1285,Kost Pria
107,tessalit,ML,89.13,overcast clouds,20.1986,1.0114,
109,bengkulu,ID,74.7,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
110,sao geraldo do araguaia,BR,85.21,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
114,kapaa,US,80.58,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
116,malanje,AO,72.66,overcast clouds,-9.5402,16.341,Malanje Hotel
117,santa cruz,BO,92.66,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
118,guerrero negro,MX,86.68,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
119,ubauro,PK,87.93,clear sky,28.1652,69.7289,Abdul Hameed shaikh
121,georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
122,paptalaya,HN,87.84,broken clouds,15.5,-84.3167,Hospedaje Ingnika
123,bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
124,emerald,AU,71.35,clear sky,-23.5333,148.1667,The Irish Village
133,filingue,NE,95.81,broken clouds,14.3521,3.3168,
135,puerto ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
136,ipameri,BR,85.37,broken clouds,-17.7219,-48.1597,Real Hotel
138,jalaun,IN,84.2,scattered clouds,26.1451,79.3366,Muskan maiching Center
145,saint-pierre,RE,73.08,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
146,axim,GH,77.76,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
152,tirat karmel,IL,72.63,clear sky,32.7617,34.9719,Marom Hotel Haifa מלון מרום
153,birao,CF,74.75,overcast clouds,10.2849,22.7882,
