City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,tierralta,CO,2021-10-03 21:26:31,8.1736,-76.0592,82.89,84,98,5.21,overcast clouds
232,sabang,ID,2021-10-03 21:26:32,5.8933,95.3214,81.75,77,51,14.03,broken clouds
233,miedzychod,PL,2021-10-03 21:26:32,52.5988,15.897,57.67,66,100,6.46,overcast clouds
234,saint-augustin,CA,2021-10-03 21:22:46,51.226,-58.6502,41.97,92,100,8.43,overcast clouds
235,nachingwea,TZ,2021-10-03 21:26:33,-10.3833,38.7667,68.85,76,15,5.26,few clouds
236,kalianget,ID,2021-10-03 21:26:33,-7.05,113.9333,80.51,76,92,3.71,overcast clouds
237,great bend,US,2021-10-03 21:26:33,38.3645,-98.7648,81.88,31,1,3.0,clear sky
238,turukhansk,RU,2021-10-03 21:20:35,65.8167,87.9833,29.21,97,98,4.16,overcast clouds
239,clyde river,CA,2021-10-03 21:21:26,70.4692,-68.5914,36.14,84,90,2.35,overcast clouds
240,chililabombwe,ZM,2021-10-03 21:26:34,-12.3648,27.8229,67.42,82,97,2.28,light rain
241,taksimo,RU,2021-10-03 21:26:34,56.3444,114.8794,29.26,83,38,2.68,scattered clouds
242,pucallpa,PE,2021-10-03 21:26:35,-8.3791,-74.5539,95.04,49,40,2.3,scattered clouds
243,brae,GB,2021-10-03 21:23:39,60.3964,-1.353,49.91,84,100,32.1,overcast clouds
244,erzin,TR,2021-10-03 21:26:35,36.9559,36.2,72.32,66,0,0.56,clear sky
245,hit,IQ,2021-10-03 21:20:52,33.6416,42.8251,81.28,30,0,11.18,clear sky
246,yuancheng,CN,2021-10-03 21:26:35,36.652,107.7896,48.42,82,100,19.53,moderate rain
247,zeya,RU,2021-10-03 21:26:36,53.75,127.2667,29.91,75,0,5.19,clear sky
248,huarmey,PE,2021-10-03 21:26:36,-10.0681,-78.1522,67.24,74,77,12.57,broken clouds
249,makakilo city,US,2021-10-03 21:26:37,21.3469,-158.0858,86.32,62,90,12.66,overcast clouds
250,sur,OM,2021-10-03 21:23:57,22.5667,59.5289,82.67,77,100,15.9,overcast clouds
251,kualakapuas,ID,2021-10-03 21:26:37,-3.0091,114.3876,75.36,94,100,0.96,light rain
252,chupa,RU,2021-10-03 21:26:37,66.27,33.0549,44.85,87,67,9.22,broken clouds
253,baykit,RU,2021-10-03 21:26:38,61.67,96.37,34.29,94,98,1.1,overcast clouds
254,hofn,IS,2021-10-03 21:21:20,64.2539,-15.2082,47.64,80,100,18.7,overcast clouds
255,hasaki,JP,2021-10-03 21:20:59,35.7333,140.8333,66.6,82,0,8.57,clear sky
256,devon,GB,2021-10-03 21:26:38,50.75,-3.75,55.35,64,23,10.67,few clouds
257,khorixas,NA,2021-10-03 21:26:39,-20.3667,14.9667,58.68,52,0,3.33,clear sky
258,baracoa,CU,2021-10-03 21:26:39,20.3467,-74.4958,82.67,76,74,4.5,broken clouds
259,qui nhon,VN,2021-10-03 21:26:39,13.7667,109.2333,76.33,90,100,6.98,overcast clouds
260,moindou,NC,2021-10-03 21:26:40,-21.6924,165.677,76.95,76,1,7.14,clear sky
261,lashio,MM,2021-10-03 21:21:40,22.9333,97.75,65.35,100,87,0.98,overcast clouds
262,ponta delgada,PT,2021-10-03 21:26:40,37.7333,-25.6667,73.51,94,75,4.61,broken clouds
263,tautira,PF,2021-10-03 21:23:56,-17.7333,-149.15,80.62,77,17,10.6,few clouds
264,san luis,AR,2021-10-03 21:24:23,-33.295,-66.3356,63.36,17,1,8.66,clear sky
265,gazanjyk,TM,2021-10-03 21:26:41,39.2446,55.5154,58.48,17,0,19.66,clear sky
